#Frame             Rg      Rg[Max]
     628       6.8627      11.6997
     629       6.9216      12.1485
     630       6.8533      11.6948
     631       6.8495      11.1492
     632       6.8271      11.2308
     633       6.9378      11.2667
     634       6.8405      11.3897
     635       6.7936      10.9979
     636       6.6778      10.9469
     637       6.9160      11.1950
     638       6.9519      11.5002
     639       6.8935      11.5865
     640       6.8540      11.3565
     641       6.8715      11.5527
     642       6.8418      11.5405
     643       6.8550      12.1682
     644       6.9499      12.6803
     645       7.0916      12.2715
     646       7.0193      12.0856
     647       6.8032      11.2399
     648       6.8332      11.3803
     649       6.9280      11.8004
     650       6.9603      12.9381
     651       6.8757      11.5091
     652       6.8493      11.2827
     653       6.9954      11.7258
     654       6.8952      11.8881
     655       6.8704      11.9161
     656       6.9228      11.6249
     657       7.1198      12.7112
     658       6.9466      11.9783
     659       7.0054      12.5246
     660       6.9152      12.2033
     661       7.0687      12.3322
     662       6.8288      12.1807
     663       6.7209      12.4009
     664       6.9457      12.2333
     665       6.9152      11.9993
     666       6.8251      11.8712
     667       6.8056      12.3932
     668       6.9365      12.0150
     669       6.8744      11.4578
     670       6.9731      11.4149
     671       6.9202      11.8152
     672       6.9336      12.0295
     673       6.9820      11.5016
     674       6.9820      11.6963
     675       6.7898      12.1616
     676       6.8386      11.4689
     677       7.0080      11.7369
     678       6.8077      11.2010
     679       6.8542      12.2265
     680       6.9523      11.6969
     681       6.9471      11.7374
     682       6.9130      11.8724
     683       6.8840      11.9844
     684       6.9043      11.3470
     685       6.9431      12.7485
     686       6.9269      11.8833
     687       7.0092      11.4933
     688       6.7821      11.1909
     689       6.8869      11.8662
     690       6.8855      11.6448
     691       6.8450      11.3712
     692       6.8250      11.5376
     693       6.8177      11.2321
     694       6.8436      11.2692
     695       6.9217      12.4028
     696       6.8586      11.7639
     697       6.9197      11.3418
     698       6.7960      11.0863
     699       6.8851      11.3788
     700       6.8104      11.2768
     701       6.7868      11.1534
     702       6.8860      11.8970
     703       6.9441      12.1251
     704       6.9510      11.7500
     705       6.8678      11.8152
     706       6.8917      11.8821
     707       6.9579      11.8871
     708       6.9913      11.6664
     709       6.8984      11.6974
     710       6.9004      11.3463
     711       6.8840      11.9396
     712       6.9707      12.1049
     713       6.8845      12.3220
     714       6.8630      11.6811
     715       6.7794      10.8187
     716       6.9650      12.5700
     717       7.0235      12.1608
     718       6.9877      12.0105
     719       6.9180      12.2266
     720       6.8969      11.4326
     721       6.9250      12.0365
     722       6.8591      11.1930
     723       6.9050      12.6320
     724       6.7606      11.2300
     725       6.9008      11.2405
     726       6.8793      11.3773
     727       6.7858      10.7181
     728       6.8691      11.8216
     729       6.9718      11.6965
     730       6.8350      11.4284
     731       6.7513      10.7824
     732       6.7416      10.5315
     733       6.7310      10.8780
     734       6.7556      11.0931
     735       6.7227      11.0440
     736       6.8639      11.2698
     737       6.9292      11.7014
     738       6.9179      11.8799
     739       6.9463      11.9583
     740       6.8779      11.4293
     741       6.9146      11.6158
     742       6.9609      11.8891
     743       6.9692      11.6709
     744       6.8688      11.6528
     745       6.8110      11.6385
     746       6.8190      11.5100
     747       6.8170      11.3961
     748       7.0610      11.7161
     749       6.8044      11.3551
     750       7.0161      11.6698
     751       6.8814      11.8251
     752       7.0312      12.0113
     753       6.8970      11.8110
     754       7.0624      12.3544
     755       7.0254      11.9614
