#Frame      Q[native] Q[nonnative]
    1000          570         2535
    1001          552         2546
    1002          591         2520
    1003          600         2583
    1004          602         2516
    1005          609         2467
    1006          609         2429
    1007          606         2464
    1008          612         2532
    1009          619         2551
    1010          616         2457
    1011          612         2557
    1012          602         2508
    1013          606         2616
    1014          601         2704
    1015          609         2446
    1016          599         2388
    1017          604         2437
    1018          618         2550
    1019          625         2568
    1020          591         2527
    1021          606         2721
    1022          619         2721
    1023          621         2572
    1024          602         2598
    1025          616         2603
    1026          618         2644
    1027          623         2609
    1028          612         2505
    1029          611         2499
    1030          616         2593
    1031          622         2726
    1032          605         2588
    1033          574         2458
    1034          590         2524
    1035          601         2554
    1036          600         2570
    1037          605         2663
    1038          616         2669
    1039          584         2555
    1040          600         2576
    1041          604         2574
    1042          607         2610
    1043          607         2701
    1044          612         2692
    1045          610         2679
    1046          620         2659
    1047          619         2724
    1048          637         2720
    1049          615         2671
    1050          595         2523
    1051          577         2555
    1052          612         2627
    1053          637         2609
    1054          605         2594
    1055          618         2497
    1056          632         2577
    1057          629         2630
    1058          620         2589
    1059          634         2637
    1060          621         2638
    1061          630         2593
    1062          634         2601
    1063          630         2523
    1064          643         2660
    1065          631         2666
    1066          619         2688
    1067          621         2677
    1068          638         2682
    1069          628         2603
    1070          628         2625
    1071          638         2680
    1072          615         2623
    1073          621         2691
    1074          634         2754
    1075          629         2645
    1076          638         2708
    1077          612         2611
    1078          609         2590
    1079          645         2682
    1080          611         2511
    1081          607         2458
    1082          620         2529
    1083          619         2593
    1084          602         2492
    1085          607         2473
    1086          605         2388
    1087          605         2521
    1088          603         2461
    1089          616         2449
    1090          601         2445
    1091          605         2390
    1092          599         2415
    1093          605         2539
    1094          616         2496
    1095          619         2475
    1096          599         2400
    1097          609         2355
    1098          586         2328
    1099          610         2418
    1100          599         2377
    1101          585         2359
    1102          572         2303
    1103          598         2409
    1104          597         2460
    1105          610         2355
    1106          610         2484
    1107          595         2415
    1108          612         2409
    1109          601         2385
    1110          601         2320
    1111          604         2232
    1112          599         2269
    1113          584         2351
    1114          600         2340
    1115          592         2308
    1116          581         2299
    1117          634         2410
    1118          618         2426
    1119          624         2397
    1120          600         2345
    1121          603         2375
    1122          606         2414
    1123          591         2374
    1124          601         2407
    1125          612         2481
    1126          595         2384
    1127          611         2487
    1128          616         2462
    1129          602         2379
    1130          603         2348
    1131          593         2338
    1132          597         2288
    1133          613         2465
    1134          603         2529
    1135          596         2525
    1136          608         2634
    1137          611         2564
    1138          604         2612
    1139          594         2465
    1140          584         2413
    1141          615         2624
    1142          598         2476
    1143          627         2552
    1144          626         2530
    1145          632         2513
    1146          600         2387
    1147          625         2374
    1148          579         2264
    1149          605         2428
    1150          585         2427
    1151          588         2409
    1152          587         2540
    1153          586         2370
    1154          575         2246
    1155          570         2411
    1156          559         2459
    1157          558         2489
    1158          576         2511
    1159          585         2486
    1160          599         2557
    1161          598         2489
    1162          574         2533
    1163          615         2603
    1164          574         2517
    1165          589         2552
    1166          577         2394
    1167          568         2308
    1168          588         2392
    1169          587         2493
    1170          589         2514
    1171          566         2349
    1172          585         2506
    1173          583         2593
    1174          569         2396
    1175          582         2493
    1176          563         2366
    1177          564         2295
    1178          561         2280
    1179          532         2299
    1180          553         2382
    1181          555         2296
    1182          532         2286
    1183          506         2227
    1184          513         2349
    1185          523         2204
    1186          511         2262
    1187          531         2322
    1188          512         2306
    1189          528         2309
    1190          531         2492
    1191          538         2469
    1192          518         2402
    1193          528         2515
    1194          528         2380
    1195          505         2350
    1196          518         2367
    1197          529         2468
    1198          534         2491
    1199          530         2428
    1200          534         2300
    1201          527         2439
    1202          543         2502
    1203          562         2526
    1204          548         2352
    1205          528         2384
    1206          524         2332
    1207          516         2374
    1208          514         2368
    1209          503         2265
    1210          507         2438
    1211          507         2419
    1212          526         2380
    1213          497         2399
    1214          504         2385
    1215          503         2410
    1216          506         2532
    1217          497         2426
    1218          508         2279
    1219          510         2370
    1220          500         2229
    1221          525         2355
    1222          529         2307
    1223          529         2285
    1224          535         2429
    1225          521         2304
    1226          539         2400
    1227          554         2481
    1228          544         2318
    1229          527         2258
    1230          508         2089
    1231          525         2145
    1232          521         2161
    1233          528         2177
    1234          518         2255
    1235          507         2353
